0 , 60 , 2321 , None , None , 176.47258294334472
0 , 135 , 2201 , 8051 , 11591 , 181.02771046933333
0 , 150 , 2311 , 9731 , 10811 , 181.11122792648806
0 , 120 , 2141 , 7691 , 11741 , 180.26250492910395
5 , 45 , 2421 , None , None , 166.99643030214955
5 , 120 , 2101 , None , None , 175.67476990036224
5 , 30 , 2391 , None , None , 153.96195176456567
5 , 60 , 2331 , None , None , 175.60430097314887
5 , 150 , 2431 , None , None , 177.11178538264807
5 , 135 , 2141 , None , None , 176.06455035684053
5 , 90 , 2291 , None , None , 177.0155403162405
10 , 90 , 2281 , None , None , 168.7644216085241
10 , 135 , 2191 , None , None , 168.65602839821128
10 , 120 , 2061 , None , None , 169.3322785626671
10 , 60 , 2521 , None , None , 167.2416618428405
10 , 30 , 2501 , None , None , 138.9307223546127
10 , 150 , 2491 , None , None , 168.6257679005769
10 , 45 , 2381 , None , None , 154.61472350569346
15 , 135 , 2231 , None , None , 142.4351866182282
15 , 30 , 9441 , 9441 , None , 326.56195222035336
15 , 60 , 4411 , None , None , 96.04581302706802
15 , 90 , 2221 , None , None , 143.84128006172128
15 , 120 , 2081 , None , None , 142.1193674315606
15 , 150 , None , None , None , 142.7613785784865
15 , 45 , None , None , None , 31.9306700324561
20 , 45 , 6221 , 6221 , None , 276.53038601796237
20 , 30 , 5031 , 5031 , None , 259.2306071877247
20 , 120 , 2121 , None , None , 37.40530317894983
20 , 60 , 7391 , 7391 , None , 293.7048784117854
20 , 150 , None , None , None , 56.47758908671896
20 , 135 , 2151 , None , None , 52.50131166810529
20 , 90 , 10161 , 10161 , None , 334.0046416667
25 , 45 , 5801 , 5801 , None , 269.2026406293338
25 , 150 , 2161 , None , None , 20.744396776733588
25 , 120 , 2111 , 11601 , None , 354.5017749937092
25 , 135 , 2161 , None , None , 7.509527201006488
25 , 30 , 4751 , 4751 , None , 253.72009893876708
25 , 60 , 6871 , 6871 , None , 284.99340213182893
25 , 90 , 2291 , 9111 , None , 318.02407537289815
30 , 30 , 4591 , 4591 , None , 250.83294330116954
30 , 150 , None , None , None , 13.44300751716165
30 , 120 , 2111 , 11071 , None , 346.6784947398229
30 , 135 , 11901 , 11901 , None , 358.95357530259645
30 , 45 , 5691 , 5691 , None , 267.13444779767826
30 , 60 , 6661 , 6661 , None , 281.4713370315914
30 , 90 , 8841 , 8841 , None , 313.74106525679525
35 , 90 , 8761 , 8761 , None , 312.3808677663714
35 , 45 , 5611 , 5611 , None , 265.6331377082032
35 , 60 , 6631 , 6631 , None , 280.86438798658827
35 , 30 , 4581 , 4581 , None , 250.35115063761498
35 , 135 , 2091 , 11861 , None , 358.3366422153897
35 , 120 , 2101 , 10911 , None , 344.29128955931367
35 , 150 , None , None , None , 11.589751581691777
40 , 135 , 2231 , 11811 , None , 357.58969796764114
40 , 120 , 2081 , 10901 , None , 344.0811298301302
40 , 60 , 6651 , 6651 , None , 280.98106207285815
40 , 30 , 4541 , 4541 , None , 249.6469179580566
40 , 150 , None , None , None , 12.276179739832637
40 , 45 , 5601 , 5601 , None , 265.36418599887463
40 , 90 , 2221 , 8751 , None , 312.2462541239054
45 , 135 , 11851 , 11851 , None , 358.1106594018555
45 , 150 , None , None , None , 12.560085356486859
45 , 120 , 2121 , 10931 , None , 344.59193221253366
45 , 60 , 6641 , 6641 , None , 280.76679991895736
45 , 45 , 5631 , 5631 , None , 265.84740215191937
45 , 30 , 4581 , 4581 , None , 250.1213349774673
45 , 90 , 2231 , 8801 , None , 312.90253662897214
50 , 30 , 4591 , 4591 , None , 250.29268261373088
50 , 150 , None , None , None , 15.180580790866497
50 , 90 , 8871 , 8871 , None , 313.994537029217
50 , 45 , 5651 , 5651 , None , 266.04143943756645
50 , 120 , 2101 , 11141 , None , 347.7246807248882
50 , 60 , 6651 , 6651 , None , 280.9845137521322
50 , 135 , 2221 , None , None , 1.1304151537958302
0 , 120 , 2091 , 8271 , 10211 , 180.95591716017768
0 , 90 , 2231 , None , None , 179.6446633412839
0 , 60 , 2331 , None , None , 178.332088021918
0 , 30 , 2301 , None , None , 156.85778267835258
0 , 150 , 2391 , None , None , 176.16284834044973
0 , 135 , 2101 , 11941 , None , 180.06575425552327
0 , 45 , 2351 , None , None , 171.66939694546386
5 , 90 , 2241 , None , None , 176.9797433814384
5 , 150 , 2191 , None , None , 176.36983042640045
5 , 135 , 2141 , None , None , 177.87818027820586
5 , 60 , 2351 , None , None , 175.07396400011322
5 , 120 , 2071 , None , None , 178.7211327787106
5 , 30 , 2331 , None , None , 152.34946068429053
5 , 45 , 2431 , None , None , 167.3988320660317
10 , 120 , 2101 , None , None , 166.50515494927265
10 , 150 , 2401 , None , None , 169.33418353530894
10 , 30 , 2431 , None , None , 138.8868031237796
10 , 90 , 2221 , None , None , 167.83671705769123
10 , 45 , 2451 , None , None , 156.86466935930466
10 , 135 , 2341 , None , None , 166.36021407872306
10 , 60 , 2481 , None , None , 165.82761057262275
15 , 150 , 2241 , None , None , 142.99761433645457
15 , 45 , 5621 , None , None , 44.03897515593884
15 , 120 , 2101 , None , None , 142.44047910707553
15 , 90 , 2181 , None , None , 142.6214412736239
15 , 30 , 10121 , 10121 , None , 336.07426668474244
15 , 60 , 4621 , None , None , 81.54574460493936
15 , 135 , 2151 , None , None , 141.76225140432953
20 , 60 , 7531 , 7531 , None , 295.73057535919787
20 , 120 , 2111 , None , None , 35.714067212456165
20 , 90 , 2161 , 10601 , None , 340.3689599325584
20 , 45 , 6211 , 6211 , None , 276.44341877297325
20 , 150 , None , None , None , 63.65869222248146
20 , 30 , 5031 , 5031 , None , 259.25686444843933
20 , 135 , 2251 , None , None , 49.055272973168535
25 , 150 , None , None , None , 20.84965109950645
25 , 45 , 5781 , 5781 , None , 268.94126514755806
25 , 30 , 4691 , 4691 , None , 252.8707903633
25 , 90 , 2231 , 9141 , None , 318.49607887727814
25 , 60 , 6841 , 6841 , None , 284.5366009217097
25 , 135 , None , None , None , 5.863627281299497
25 , 120 , 2101 , 11551 , None , 353.7772040906867
30 , 150 , None , None , None , 13.198115095358506
30 , 60 , 6691 , 6691 , None , 281.9077192721396
30 , 45 , 5661 , 5661 , None , 266.6579814349871
30 , 120 , 2161 , 11031 , None , 346.100533283828
30 , 90 , 8801 , 8801 , None , 313.23489792700383
30 , 135 , 11961 , 11961 , None , 359.760721061548
30 , 30 , 4591 , 4591 , None , 250.86793106750105
35 , 150 , None , None , None , 11.918437517533366
35 , 120 , 2151 , 10861 , None , 343.50457765341764
35 , 60 , 6641 , 6641 , None , 280.9381898915075
35 , 135 , 11851 , 11851 , None , 358.15927519147624
35 , 30 , 4581 , 4581 , None , 250.36002956062376
35 , 90 , 8741 , 8741 , None , 312.14858291144094
35 , 45 , 5621 , 5621 , None , 265.81479544710817
40 , 120 , 2131 , 10921 , None , 344.39147641464905
40 , 30 , 4561 , 4561 , None , 249.95840274520796
40 , 60 , 6621 , 6621 , None , 280.61335575002795
40 , 135 , 2071 , 11871 , None , 358.5179838618339
